paIsTranslatable,FORMAT,INITIAL,MANDATORY,DECIMALS,paDecimalInformation,EXTENT,paDescriptionACM,paDomainType,LOB-SIZE,CLOB-CODEPAGE,paIsBlockable,CASE-SENSITIVE,paDomainSubType,DATA-TYPE,CLOB-COLLATION,CLOB-TYPE,name,id,parent,schema_Id
"","\n-zzz,zzz,zz9.999\n","","","","","","","","","","","","","","","","cPF_Istwert","PA0292:pA:013f986aafe9431fbe53dd43ecc51331","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","\nx\n","","","","","","","","","","","","","","","","cPF_kritisch","PA0292:pA:ff432eb1b04b46b6ac246896db1aecf4","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","\n99.99.9999\n","","","","","","","","","","","","","","","","cPF_letzte_Bewegung","PA0292:pA:5cf4ada8d398485a942790bdfaed1e8a","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","\nx\n","","","","","","","","","","","","","","","","cPF_Lieferkennzeichen_Anz","PA0292:pA:bd2ceacd87ac4b9bb3d2e0f3ce372ff2","PA0292:pA:25da0bd60789490b952eb21e23c16b66",0
"","\nx(40)\n","","","","","","","","","","","","","","","","cPF_Lieferkennzeichen_Info","PA0292:pA:c200c2cf3be6457fbe91e87d22351df7","PA0292:pA:25da0bd60789490b952eb21e23c16b66",0
"","","","","","","","","","","","","","","","","","cPF_LT_KW","PA0292:pA:45ed28622cb0460abb9cf973c9a6336e","PA0292:pA:956d4f33c9f0e7ace01178190e32015f",0
"","","","","","","","","","","","","","","","","","cPF_LT_KW_4","PA0292:pA:deed595992de8eb9db11750ad12169dd","PA0292:pA:bd57c6d0361b42aae0117a194bb08532",0
"","\nx(60)\n","","","","","","","","","","","","","","","","cPF_Meldungstext_Info","PA0292:pA:89a2f276eee14ddd9723360e566b1a21","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","\nx(51)\n","","","","","","","","","","","","","","","","cPF_Ort","PA0292:pA:a235742be828443981c39068536b5d00","PA0292:pA:7287299a892a4462b6ba3cc0c14c0798",0
"","\nx(73)\n","","","","","","","","","","","","","","","","cPF_Postfach","PA0292:pA:90659b0b75b346a181b3d912d3ee6dc3","PA0292:pA:1e2133def4f64458ae70cd9b295c9362",0
"","\nx(46)\n","","","","","","","","","","","","","","","","cPF_Postfach/Ort","PA0292:pA:5a271cd3bb6446ef8bce25bb9753bb45","PA0292:pA:1e2133def4f64458ae70cd9b295c9362",0
"","\n-zzz,zzz,zz9.999\n","","","","","","","","","","","","","","","","cPF_Sollwert","PA0292:pA:de18a05c879a4bf88649cc6e594ad5d8","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","","","","","","","","","","","","","","","","","cPF_Sperrlevel (kurz)","PA0292:pA:a4463502daae43b3b8ebee9817d121d7","PA0292:pA:c90f9f1db0614b5aac28f03dc9011581",0
"","\nx(20)\n","","","","","","","","","","","","","","","","cPF_Sperrlevel (lang)","PA0292:pA:7372358c13c5495aae0fa9e42d99e047","PA0292:pA:a4463502daae43b3b8ebee9817d121d7",0
"","\nx(30)\n","","","","","","","","","","","","","","","","cPF_Staat","PA0292:pA:6220e844c48341ddab93dc8017e99246","PA0292:pA:03215f9ef90c46bb91f61840132d4e4c",0
"","\nx(30)\n","","","","","","","","","","","","","","","","cPF_StaatsBez","PA0292:pA:06e7d7f8f8904610a1a952c6de437748","PA0292:pA:d5a918cf63bb14a0da1108eb5b612182",0
"","","","","","","","","","","","","","","","","","cPF_StartTermin_KW","PA0292:pA:0b707d6fe34f491ba521df2f6d3f2fd4","PA0292:pA:bd57c6d0361b42aae0117a194bb08532",0
"","","","","","","","","","","","","","","","","","cPF_StartTermin_WT","PA0292:pA:8c27fbcf0ca3401798653c2f7a4a3899","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","\nx(15)\n","","","","","","","","","","","","","","","","cPF_StateDesc","PA0292:pA:8addca43a0fbae8edb113e6e140b6b39","PA0292:pA:d5a918cf63bb14a0da1108eb5b612182",0
"","","","","","","","","","","","","","","","","","cPF_Termin_KW","PA0292:pA:e7a414dfd7cf41ecaf2d7878bd53028e","PA0292:pA:956d4f33c9f0e7ace01178190e32015f",0
"","\nx(20)\n","","","","","","","","","","","","","","","","cPF_TimeIntervalUnit_Info","PA0292:pA:f8a17a2d3cfcacbadc11fe6589cb42a2","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","","","","","","","","","","","","","","","","","cPF_WT_KW","PA0292:pA:c71ae90bd51740898720c4f3a072ea4e","PA0292:pA:956d4f33c9f0e7ace01178190e32015f",0
"","","","","","","","","","","","","","","","","","cPF_WT_KW_4","PA0292:pA:97f7e20a93b240ba9f9bd64ea49b57ca","PA0292:pA:bd57c6d0361b42aae0117a194bb08532",0
"","\nx(4)\n","","","","","","\nFO_PaymentModeShort_desc\n","","","","","","","","","","cPF_ZahlModus_Kurz","PA0292:pA:82693aaec5d243839e284056420d9041","PA0292:pA:c67a0446d835410a8a47a1ebcc9d5794",0
"","\nx(18)\n","","","","","","","","","","","","","","","","cPF_ZahlVerhLief","PA0292:pA:2fcda272598c45f98fc25477ed52aa89","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","","","","","","","","","","","","","","","","","cPF_ZugangsTermin_KW","PA0292:pA:662f9be6ed6c4521a3631430b92faabc","PA0292:pA:956d4f33c9f0e7ace01178190e32015f",0
"","","","","","","","","","","","","","","","","","cPF_ZugangsTermin_KW_4","PA0292:pA:41d088b2b7e04e2ea148b72159958313","PA0292:pA:bd57c6d0361b42aae0117a194bb08532",0
"","","","","","","","","","","","","","","","","","cPickingLocation","PA0292:pA:d141afa9c124f194de11f8ee97398172","PA0292:pA:f96a49547f504560ac735fca8f1c4ff1",0
"","","","","","","","","","","","","","","","","","cPlananlagegut","PA0292:pA:b53929d78f474495b73dddf3ee350154","PA0292:pA:e98ae08043fb405e96b60764265338d0",0
"","\nx(18)\n","","","","","","","","","","","","","","","","cPlanMngErfassung","PA0292:pA:b10384cb34f04624850a542de0669137","PA0292:pA:d12046210497ab81db113007ac597223",0
"","\nx(30)\n","","","","","","","","","","","","","","","","cPlanstkliste","PA0292:pA:a4297ea4136448e1a5bcaa03af376b8e","PA0292:pA:e5c0258544c72587db114407c2c1a54d",0
"","\nx(18)\n","","\nno\n","","","","","","","","","","","","","","cPlanwerterfassung","PA0292:pA:5dd0dafccb4046b1873fdc33e78e85df","PA0292:pA:d12046210497ab81db113007ac597223",0
"","\nx(10)\n","","","","","","","","","","","","","","","","cPlatz","PA0292:pA:1f01671f0f2240e4ba324eee604a7473","PA0292:pA:cc967f803f2a4b5babccd120fc7bafd8",0
"","","","","","","","","","","","","","","","","","cPlatzgröße","PA0292:pA:9dea96b01e5743569c97b19adc2aa998","PA0292:pA:bc9165a6a53044a3827d052a9d274872",0
"","\nx(6)\n","","","","","","","","","","","","","","","","cPort-Adresse","PA0292:pA:e83e128c266840f4acb9045e2eed8b32","PA0292:pA:b7375ab07eb80192da115fc5394022bf",0
"","\nx(5)\n","","","","","","","","","","","","","","","","cPosition","PA0292:pA:b320e4377d694acc9664d6ece31bc773","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","\nx(20)\n","","","","","","","","","","","","","","","","cPreisfindung","PA0292:pA:5eb60da9b09b4d99bf08713144e5c139","PA0292:pA:95b3d9925b5db39adb11b608f676be24",0
"","","","","","","","","","","","","","","","","","cPreisfindung Kosten","PA0292:pA:7fad49adb7d5478fba9d2982c0cddd7c","PA0292:pA:5eb60da9b09b4d99bf08713144e5c139",0
"","","","","","","","","","","","","","","","","","cPreisfindung Material","PA0292:pA:44515568d9dc4bd9befe7ef1cfeed1f0","PA0292:pA:5eb60da9b09b4d99bf08713144e5c139",0
"","\nx(20)\n","","","","","","","","","","","","","","","","cPrintLayout ID","PA0292:pA:ca081470256be4b6e011390c662abedf","PA0292:pA:ca081470256be4b6e011390ce21b036d",0
"","\nx\n","\nA\n","","","","","","","","","","","","","","","cPriorität","PA0292:pA:16a371527ee5414ab5b4a55b918bdce8","PA0292:pA:b7375ab07eb80192da115fc5394022bf",0
"","\nx(12)\n","","","","","","","","","","","","","","","","cProdFolgeNr","PA0292:pA:f2bdb3a18c574576ae1697f34d9a5747","PA0292:pA:d0c054c48e109b8ddb11e2050af5dd39",0
"","\nx(50)\n","","","","","","","","","","","","","","","","cProfilname","PA0292:pA:f6213bd3f4ab45658592a50ded98d4c0","PA0292:pA:b7375ab07eb80192da115fc5394022bf",0
"","\nx(18)\n","","\nno\n","","","","","","","","","","","","","","cPrognosemenge","PA0292:pA:fbe72da0a1094624a49516d143e1a95b","PA0292:pA:d12046210497ab81db113007ac597223",0
"","\nx(18)\n","","\nno\n","","","","","","","","","","","","","","cPrognosewert","PA0292:pA:67b7a996bc01477f9202f1f12d37e99b","PA0292:pA:d12046210497ab81db113007ac597223",0
"","","","","","","\n4\n","","","","","","","","","","","cProjektbezeichnung","PA0292:pA:d2c18d4ccd03470e84b4cd46654492b7","PA0292:pA:7f117fd4f3d94a4581da34d3d98b66f8",0
"","\nx(3)\n","\nb\n","","","","","\nJB_ProjStatus_desc\n","","","","","","","","","","cProjektstatus","PA0292:pA:87a0a145b0834ca29f411601085ecbff","PA0292:pA:d0c054c48e109b8ddb11e2050af5dd39",0
"","\nx(20)\n","","","","","","","","","","","","","","","","cProjektvorgang","PA0292:pA:6e7093e52f2b4cf2b82a29f20f9d58ba","PA0292:pA:cc967f803f2a4b5babccd120fc7bafd8",0
"","","","","","","","","","","","","","","","","","cProjektvorgang NaFo","PA0292:pA:98d70c9be6d0f886df11a99ba61b7ba7","PA0292:pA:6e7093e52f2b4cf2b82a29f20f9d58ba",0
"","","","","","","","","","","","","","","","","","cProjektvorgang Vorg","PA0292:pA:98d70c9be6d0f886df11a99b8674459a","PA0292:pA:6e7093e52f2b4cf2b82a29f20f9d58ba",0
"","\nx(6)\n","","","","","","","","","","","","","","","","cProvisionsgruppe","PA0292:pA:7beb1093bcd24ba6828664bc1516759f","PA0292:pA:cc967f803f2a4b5babccd120fc7bafd8",0
"","\nx(3)\n","","","","","","","","","","","","","","","","cProzessbereich","PA0292:pA:47dd0ddaf1c84fb99ef7cdbf685e5a2b","PA0292:pA:d0c054c48e109b8ddb11e2050af5dd39",0
"","","","","","","","","","","","","","","","","","cPrüfprogramm Ausg","PA0292:pA:ec44ac8aa00040d3987aa6951c7afcde","PA0292:pA:35165070f2d64cb89eb164e0e1d7f4e7",0
"","","","","","","","","","","","","","","","","","cPrüfprogramm Eing","PA0292:pA:22a66b9a91084a3ca2873dac31a1b56d","PA0292:pA:35165070f2d64cb89eb164e0e1d7f4e7",0
"","\nx(30)\n","","","","","","","","","","","","","","","","cPrüfungsbemerkung","PA0292:pA:4739aebc863140e18cdb55c5c2400c1d","PA0292:pA:f756789bc40e4bae9339f304dc74f5b0",0
"","\nx(60)\n","","","","","","","","","","","","","","","","cPSC","PA0292:pA:9322526daed2508cdb115d6a1cf55743","PA0292:pA:cc967f803f2a4b5babccd120fc7bafd8",0
"","\nx(12)\n","","","","","","","","","","","","","","","","cPufferbuchungen","PA0292:pA:2b069772155b42a7a75f4389309ecae0","PA0292:pA:d0c054c48e109b8ddb11e2050af5dd39",0
"","","\n?\n","\nno\n","","","","","","","","","","","","","","cR/A Belegart","PA0292:pA:9592f64a521241bb8ab0b8bf5dd52bba","PA0292:pA:f666f428900a4e5389696c5cad788705",0
"","","","","","","","","","","","","","","","","","cRabattgruppe Kosten","PA0292:pA:5198ab2de566461c942e0c415f87949e","PA0292:pA:9cb5ee43ae2d4e4ea7d42cd80a36a79b",0
"","","","","","","","","","","","","","","","","","cRabattgruppe Material","PA0292:pA:15bd2538ea944072b244e13c8ae93d60","PA0292:pA:9cb5ee43ae2d4e4ea7d42cd80a36a79b",0
"","\nx(35)\n","","","","","","","","","","","","","","","","cReceiptNo","PA0292:pA:f8a17a2d3cfcacbadc11fe6580cb42a2","PA0292:pA:2fc23fffeb7f4a5e9135161e81a75b2a",0
"","\nx(20)\n","\n?\n","\nno\n","","","","","","","","","","","","","","cReferenzschlüssel","PA0292:pA:55982f2dee564adb86f35919df75ab1a","PA0292:pA:2d3246ecfd5f4ad7b28a928d17724831",0
"","\nx(14)\n","","","","","","","","","","","","","","","","cRefNr Konverter","PA0292:pA:2e6af2dfee4a48b7bfa85e4cd60531a8","PA0292:pA:b7375ab07eb80192da115fc5394022bf",0
"","","","\nno\n","","","","","","","","","","","","","","cres Bestand","PA0292:pA:f02b86eda4724e34a17f79c196e12b1b","PA0292:pA:c962df0301f46fb1da11d2ee52d18e7a",0
"","\nx(60)\n","","","","","","","","","","","","","","","","cres/Platz n  Abfr","PA0292:pA:bc6548a9749b40c5aef37ffcf82a6868","PA0292:pA:d0c054c48e109b8ddb11e2050af5dd39",0
"","\nx(68)\n","","","","","","","","","","","","","","","","cReserve_0001","PA0292:pA:a69ef512729948b8aea385b0768b5888","PA0292:pA:3b7898ccf43c485db4aafe5961669109",0
"","\nx(51)\n","","","","","","","","","","","","","","","","cReserve_0002","PA0292:pA:aaef6b0127414e3abef843b70bda076a","PA0292:pA:3b7898ccf43c485db4aafe5961669109",0
"","\nx(229)\n","","","","","","","","","","","","","","","","cReserve_0003","PA0292:pA:043b157d529041fb8858e51e9a271ae0","PA0292:pA:3b7898ccf43c485db4aafe5961669109",0
"","\nx(75)\n","","","","","","","","","","","","","","","","cReserve_0004","PA0292:pA:893e1cb23dca4d32b6b52cd228287fb7","PA0292:pA:3b7898ccf43c485db4aafe5961669109",0
"","\nx(221)\n","","","","","","","","","","","","","","","","cReserve_0005","PA0292:pA:3b9a0f3425aa4097bbf3b3399fa369b3","PA0292:pA:3b7898ccf43c485db4aafe5961669109",0
"","","","","","","","","","","","","","","","","","cReserve_AZV","PA0292:pA:3b7898ccf43c485db4aafe5961669109","PA0292:pA:15c6b7cdc8a34e20b23d5eaa70a1cf0f",0
"","\nx(60)\n","","","","","","","","","","","","","","","","creservieren Platz","PA0292:pA:a399b61fcc1e4344bb0fce9a36c8dd2e","PA0292:pA:d0c054c48e109b8ddb11e2050af5dd39",0
"","\n!\n","","","","","","","","","","","","","","","","cReservierungsart","PA0292:pA:811d406c94cf472fa6e0cbcfafe534a5","PA0292:pA:d0c054c48e109b8ddb11e2050af5dd39",0
"","","","","","","","","","","","","","","","","","cRessGruppeBez","PA0292:pA:f8a17a2d3cfcacbadc11fe65a1f249a2","PA0292:pA:7f117fd4f3d94a4581da34d3d98b66f8",0
"","","","","","","","","","","","","","","","","","cRessourcenBez","PA0292:pA:f8a17a2d3cfcacbadc11fe65a5f249a2","PA0292:pA:7f117fd4f3d94a4581da34d3d98b66f8",0
"","","","","","","","","","","","","","","","","","CRM (int)","PA0292:pA:868a50d39be29094db11c608ceb8e03c","PA0292:pA:f6e7e676c3f6388adb11520778aeb067",0
"","","","","","","","","","","","","","","","","","cRobinsonEntry","PA0292:pA:a9ff05d1734d5a95de11d1fa51b3b3cb","PA0292:pA:3e44fe2e559f444fa05d19d961433ce5",0
"","\nx(2)\n","","\nno\n","","","","","","","","","","","","","","cRoutingCode","PA0292:pA:e32f48095d2d473484eb69fc8010d677","PA0292:pA:2fc23fffeb7f4a5e9135161e81a75b2a",0
"","\nx(20)\n","","\nno\n","","","","","","","","","","","","","","cRoutingType","PA0292:pA:3ab105a6236b496b94cae0fa97ec199d","PA0292:pA:2fc23fffeb7f4a5e9135161e81a75b2a",0
"","\nn\n","\no\n","","","","","\nMP_ConfirmationTypes_desc\n","","","","","","","","","","cRückmeldung","PA0292:pA:44f880d4ba254f19b8d3f180cc50310c","PA0292:pA:2d3246ecfd5f4ad7b28a928d17724831",0
"","\nx(20)\n","","","","","","","","","","","","","","","","cRufnummer","PA0292:pA:3de9f3d5b516437398165276ad62867f","PA0292:pA:b7375ab07eb80192da115fc5394022bf",0
"","","","","","","","","","","","","","","","","","cSachbearbeiter WV","PA0292:pA:a82997fa8c564106bbbfa0dde5eaff23","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","","","\nno\n","","","","","","","","","","","","","","cSachbearbeiter [nm]","PA0292:pA:71cb3a07ad9341a1863f542930a0fadf","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","\nx(4)\n","","","","","","","","","","","","","","","","cSaldenkennung","PA0292:pA:d5a918cf63bb14a0da1118eb40b04a61","PA0292:pA:d0c054c48e109b8ddb11e205ca894e2c",0
"","\nx(2)\n","","","","","","\nSA_AnalysisRowDebitCreditKeys_desc\n","","","","","","","","","","cSaldokennzeichen","PA0292:pA:e5a53063ff9647cdb4d00f4a97834ada","PA0292:pA:d0c054c48e109b8ddb11e205ca894e2c",0
"","","","","","","","\nSA_AnalysisAcctDebitCreditKey_desc\n","","","","","","","","","","cSaldokennzeichen_0001","PA0292:pA:05829e3ce816429990a0c06dbe4feb84","PA0292:pA:e5a53063ff9647cdb4d00f4a97834ada",0
"","","","","","","","","","","","","","","","","","cSammelauftrag","PA0292:pA:6b07878c1651401b9d5801c3e42db1ed","PA0292:pA:aac6dbcc1f8a4fafb5dde83e2847cf84",0
"","\nx\n","","","","","","","","","","","","","","","","cSatzart","PA0292:pA:4003efebbc914add9afe58bfc4401f29","PA0292:pA:2d3246ecfd5f4ad7b28a928d17724831",0
"","","\nA\n","","","","","","","","","","","","","","","cSatzart (iA)","PA0292:pA:000e7e5e72124c97918eaaf4a10456f4","PA0292:pA:4003efebbc914add9afe58bfc4401f29",0
"","","\nA\n","","","","","\nVS_ServiceOrderDataSegments_desc\n","","","","","","","","","","cSatzart Service","PA0292:pA:52d9c618b3364dbb8f844a1c4c22aa1a","PA0292:pA:4003efebbc914add9afe58bfc4401f29",0
"","\n!\n","","","","","","","","","","","","","","","","cSatzart_AZV","PA0292:pA:b6bf4f8349694ba5a39e90630b718aa2","PA0292:pA:15c6b7cdc8a34e20b23d5eaa70a1cf0f",0
"","\n9999\n","","","","","","","","","","","","","","","","cSatzlänge","PA0292:pA:b5d97d4afdba481eb15440a2dd4b0775","PA0292:pA:15c6b7cdc8a34e20b23d5eaa70a1cf0f",0
"","","","","","","","","","","","","","","","","","cSB bearbeitet","PA0292:pA:8a17d3145671491fadebfa1ad8c62b8a","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","","","","","","","","","","","","","","","","","cSB Disposition","PA0292:pA:236172204ae9464eab7c41a16d9e4c87","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","","","","","","","","","","","","","","","","","cSB EDI","PA0292:pA:11df5f4db02d4123a7760988653b6fe2","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","","","","","","","","","","","","","","","","","cSB Einkauf","PA0292:pA:5e484684359f4fe495db202d8796bcb4","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","","","","","","","","","","","","","","","","","cSB Fibu","PA0292:pA:ef69394c7e924ee582510ec508b7af1f","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","","","","","","","","","","","","","","","","","cSB genehmigt","PA0292:pA:c0564e9fd80f43c186076e4b3b8500a9","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","","","","","","","","","","","","","","","","","cSB geprüft","PA0292:pA:4229483e401947969c1da5ac2590ada8","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","","","","","","","","","","","","","","","","","cSB Mahnung","PA0292:pA:3b0db880040f42fb9234f5dca3ad06d8","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","","","","","","","","","","","","","","","","","cSB Stammdaten","PA0292:pA:88bcf10fb2ff427c921f417778eadbe5","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","","","","","","","","","","","","","","","","","cSB Vertrieb","PA0292:pA:1070bf3f43b24c129555008c48e8783a","PA0292:pA:6345783326a440d986926c5983a0f0d9",0
"","\nx(100)\n","","","","","","","","","","","","","","","","cSchlagwortIDs","PA0292:pA:5b23846f517841f997920a2e1c10b3a2","PA0292:pA:d12046210497ab81db1133077371f927",0
"","\nx(100)\n","","","","","","","","","","","","","","","","cSchlagwortStandardwert","PA0292:pA:72de41704c404a73b4234c242cb948b6","PA0292:pA:d12046210497ab81db1133077371f927",0
"","\nx(100)\n","","","","","","","","","","","","","","","","cSchlagwortwert","PA0292:pA:6e7d81a3f8c34884a530ca4b6ef45ce1","PA0292:pA:d12046210497ab81db1133077371f927",0
"","\nx(100)\n","","","","","","","","","","","","","","","","cSchlagwortwerte","PA0292:pA:8317768cc5914251a0b7d94dead685db","PA0292:pA:d12046210497ab81db1133077371f927",0
"","\nx(30)\n","\n?\n","\nno\n","","","","","","","","","","","","","","cSchlüssel Kennzahl","PA0292:pA:9ae971308862494cafa7ec338a0a78a4","PA0292:pA:2d3246ecfd5f4ad7b28a928d17724831",0
"","\nx(10)\n","","","","","","","","","","","","","","","","cSegment","PA0292:pA:e4a568e90b6c4bc2afdb169433fa66a3","PA0292:pA:b7375ab07eb80192da115fc5394022bf",0
"","\nx(10)\n","","","","","","","","","","","","","","","","cSegmentgruppe","PA0292:pA:f1ab2b2838b74ee8bd54e4aca6ec4481","PA0292:pA:b7375ab07eb80192da115fc5394022bf",0
"","\nx(30)\n","","","","","","","","","","","","","","","","cSelectionList","PA0292:pA:9b2f1b2cc0bf8b93e11181a966e6bd7b","PA0292:pA:91e3631301ef45a8aaf68505fcc136ef",0
"","","","","","","","","","","","","","","","","","cSelektion Ansprech","PA0292:pA:ddf5a713a6404831824b4d571f28f23e","PA0292:pA:cf7abd29c1da495dac55b0cd288276a7",0
"","","","","","","","","","","","","","","","","","cSelektion VPro","PA0292:pA:b065237ebe0e4295926241edd7369888","PA0292:pA:cf7abd29c1da495dac55b0cd288276a7",0
"","\nx(20)\n","\n?\n","","","","","","","","","","","","","","","cServer","PA0292:pA:ef25ce63721a4896a429d206eae1af2b","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","\nx(20)\n","","","","","","","","","","","","","","","","cServerID","PA0292:pA:bc36dfb7319f4217bce23ec6999e55ff","PA0292:pA:cc967f803f2a4b5babccd120fc7bafd8",0
"","","","","","","","","","","","","","","","","","cServiceteil Kosten","PA0292:pA:c9eb89ad6fbe4820bfd715978e069837","PA0292:pA:ae28ce96a3544a1489a0a51f756c916c",0
"","","","","","","","","","","","","","","","","","cServiceteil Material","PA0292:pA:486815c910f74bc3a1c4c035c1cd9266","PA0292:pA:ae28ce96a3544a1489a0a51f756c916c",0
"","\nx(20)\n","","","","","","","","","","","","","","","","cSNR Format","PA0292:pA:8c5bf16da7ca4d29a625b172e7f89670","PA0292:pA:af33fa0c925a1a9adb11750d3272fe48",0
"","\nx(240)\n","\n?\n","\nno\n","","","","","","","","","","","","","","cSNRListe","PA0292:pA:4aed17c7027242dba0b3f0ec1036b1c0","PA0292:pA:91e3631301ef45a8aaf68505fcc136ef",0
"","\nx(6)\n","","","","","","","","","","","","","","","","cSNRTyp","PA0292:pA:097078ceaf424f8f9175cfcf7849cca2","PA0292:pA:cc967f803f2a4b5babccd120fc7bafd8",0
"","","","","","","","","","","","","","","","","","cSortierbezeichnung","PA0292:pA:1ac795d2b8784ee6800ec6dedc85d82b","PA0292:pA:7f117fd4f3d94a4581da34d3d98b66f8",0
"","\nx(40)\n","","","","","","","","","","","","","","","","cSortierbezeichnung_x40","PA0292:pA:d7133ca7b82d4760a5f778cbe37071e7","PA0292:pA:1ac795d2b8784ee6800ec6dedc85d82b",0
"","\nx(25)\n","","","","","","","","","","","","","","","","cSortierung","PA0292:pA:e6419a65b90c4e6c8c077682c60a596c","PA0292:pA:ef259538161f9894db11fd07c432a3b1",0
"","","","","","","","","","","","","","","","","","cSortierungsfelder","PA0292:pA:aca0c77f50b64a1ebee364d81ef5badc","PA0292:pA:91e3631301ef45a8aaf68505fcc136ef",0
"","\nx(255)\n","","","","","","","","","","","","","","","","cSource Phrase","PA0292:pA:0389b482f1e5454a8c1c12de1d699ddf","PA0292:pA:e46b487fefab6387db1191095cc4d438",0
"","","","","","","","","","","","","","","","","","cSource Phrase Ind","PA0292:pA:9b11e7f350384c7199921e165f6ea2e0","PA0292:pA:e46b487fefab6387db119109d6318d20",0
"","\nx(65)\n","","","","","","","","","","","","","","","","cSpaltenbezeichnung","PA0292:pA:4f025b5bf1ff42b6b1d413c1b6ea9bc7","PA0292:pA:b7375ab07eb80192da1164c5c4279532",0
"","\nx(100)\n","","","","","","","","","","","","","","","","cSpaltencodeliste","PA0292:pA:2324d40d753c47b5bece4a5622a019a0","PA0292:pA:2d3246ecfd5f4ad7b28a928d17724831",0
"","\nx(6)\n","","","","","","","","","","","","","","","","cSparte","PA0292:pA:5ecdfdbbc04d4e479fa7e07615fd0218","PA0292:pA:cc967f803f2a4b5babccd120fc7bafd8",0
"","\nx(6)\n","","","","","","","","","","","","","","","","cSpeicher","PA0292:pA:092f69ebb80e465c9ae6d3918b3b36a8","PA0292:pA:2d3246ecfd5f4ad7b28a928d17724831",0
"","\nx\n","","","","","","","","","","","","","","","","cSperrlevel","PA0292:pA:c90f9f1db0614b5aac28f03dc9011581","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","\nx(14)\n","","","","","","","","","","","","","","","","cSpesenkonto","PA0292:pA:7f3d7fa1597045e0ae4a68a56b78785e","PA0292:pA:2c2ac115851c42f0b58019e609bc100b",0
"","","","","","","","","","","","","","","","","","cSpoolkommando","PA0292:pA:680e00cd27f0477e9a6e59abfd4411d6","PA0292:pA:a9eccfff249cba91db11c201f452b28d",0
"","\nx(20)\n","","","","","","","","","","","","","","","","cssClass","PA0292:pA:a1cf71628c3942d99b5410006a06054b","PA0292:pA:e95cc59b02d71baee0116804ae5ad268",0
"","\nx(6)\n","","","","","","","","","","","","","","","","cStaffelgruppe","PA0292:pA:a30a79cb40204ac08af5c1157115a8bc","PA0292:pA:cc967f803f2a4b5babccd120fc7bafd8",0
"","\nx(20)\n","","","","","","","","","","","","","","","","cStammspalte","PA0292:pA:4ee0d76a573045dcbd3de8e66b69ce5d","PA0292:pA:2d3246ecfd5f4ad7b28a928d17724831",0
"","\nx(40)\n","","","","","","","","","","","","","","","","cStandardwert","PA0292:pA:b6e86597ec6d467dbe8c5fbda11c9134","PA0292:pA:95b3d9925b5db39adb11b408d26ee8d7",0
"","","\n?\n","\nno\n","","","","","","","","","","","","","","cStandardwert [nm i?]","PA0292:pA:998c48df352f403eb6ace01ea4f603e1","PA0292:pA:b6e86597ec6d467dbe8c5fbda11c9134",0
"","","","","","","","","","","","","","","","","","cStartkommando","PA0292:pA:d476567afe4c4800b8a40b37698797fc","PA0292:pA:a9eccfff249cba91db11c201f452b28d",0
"","\nxxxx xx xx\n","","","","","","","","","","","","","","","","cstat Warennummer","PA0292:pA:d1391913558c4cb088e5367e881adca2","PA0292:pA:2fc23fffeb7f4a5e9135161e81a75b2a",0
"","\nx(20)\n","","","","","","","","","","","","","","","","cStatement","PA0292:pA:2211cd7799f34cc79e82c0ad16d0fc7b","PA0292:pA:e46b487fefab6387db1190098a98c16d",0
"","\nx(12)\n","","","","","","","","","","","","","","","","cStatistikfeld","PA0292:pA:770f386ecab745c9b4e3d5c5334b0091","PA0292:pA:2d3246ecfd5f4ad7b28a928d17724831",0
"","","","","","","","","","","","","","","","","","cStatistikfeld #","PA0292:pA:2db95d7b12824bd58b0d4e8a164b3f15","PA0292:pA:770f386ecab745c9b4e3d5c5334b0091",0
"","\nx(3)\n","","","","","","","","","","","","","","","","cStatus AZG","PA0292:pA:04eeddbc71fe4330a17662bafa1d4c3d","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
