paIsTranslatable,FORMAT,INITIAL,MANDATORY,DECIMALS,paDecimalInformation,EXTENT,paDescriptionACM,paDomainType,LOB-SIZE,CLOB-CODEPAGE,paIsBlockable,CASE-SENSITIVE,paDomainSubType,DATA-TYPE,CLOB-COLLATION,CLOB-TYPE,name,id,parent,schema_Id
"","","","","","","","","","","","","","","","","","Abweichung","PA0292:pA:4146ffaaa0ed4c7ca44045bb458a1adb","PA0292:pA:3074275b6e4e482d8387964462e4a324",0
"","\nzzz,zz9-\n","","","","","","","","","","","","","","","","Abweichung (Skalierung)","PA0292:pA:dca130bfe8f444da8d2312fc6a6d6129","PA0292:pA:736c9ecfd19147329b5dff2535ae5621",0
"","\nz9.99\n","","","\n2\n","","","","","","","","","","","","","Abweichungstoleranz","PA0292:pA:cf5f6d0640774fce9065702e2703ad75","PA0292:pA:736c9ecfd19147329b5dff2535ae5621",0
"","","","","","","","","","","","","","","","","","Acceptance Program","PA0292:pA:34c2caa445084a50b8cad45d6be2e45f","PA0292:pA:35165070f2d64cb89eb164e0e1d7f4e7",0
"","","","","","","","","","","","","","","","","","Acceptance Time","PA0292:pA:30362ae94a5b4c31b88c098a08715696","PA0292:pA:dac1248eede25aadda117fff7331ffd9",0
"","","","","","","","","","","","","","","","","","Accepted Weight","PA0292:pA:d3b9967dfab541bb80e0e5c425c7e2f9","PA0292:pA:ed6b3c2f4a184359ad5e4926e5120940",0
"","","","\nno\n","","","","","","","","","","","","","","Access (VarGen) [nm]","PA0292:pA:904f9152d7774230a23aaab7f604eae2","PA0292:pA:e5c0258544c72587db113d0716b4254b",0
"","","\n*\n","","","","","","","","","","","","","","","Access-List Companies","PA0292:pA:f777324c6c4045e0a9e944cc06632608","PA0292:pA:5bb3aa7c911d42eb924539c1b32b3e22",0
"","","\n*\n","","","","","","","","","","","","","","","Access-List Groups","PA0292:pA:08a7f5bade4c4de694d4ea5f27e00079","PA0292:pA:5bb3aa7c911d42eb924539c1b32b3e22",0
"","","","","","","","","","","","","","","","","","Access-List User","PA0292:pA:644053a84b164f789867c6c98a672ace","PA0292:pA:5bb3aa7c911d42eb924539c1b32b3e22",0
"","","","","","","","","","","","","","","","","","Account Bank Fees","PA0292:pA:be0120b730fe7eaadf11b2ae460d6c2b","PA0292:pA:27f5d508352b46e0b36f63cb38910d63",0
"","","","","","","","","","","","","","","","","","Account Consumption Addit Dimension","PA0292:pA:d80fcd5adb1d01b3df11e94dd12cf85d","PA0292:pA:27f5d508352b46e0b36f63cb38910d63",0
